Draw Date,Winning Numbers,Multiplier
2019-06-29,13 17 24 59 62 08,2
2019-07-03,40 43 45 50 61 25,3
2019-07-06,04 08 23 46 65 01,2
2019-07-10,07 09 26 44 68 03,3
2019-07-13,13 23 32 35 68 21,3
2019-07-17,19 43 47 60 68 10,2
2019-07-20,05 26 36 64 69 19,3
2019-07-24,22 29 35 53 56 13,2
2019-07-27,01 19 31 48 61 06,2
2019-07-31,14 37 47 55 67 06,2
2019-08-03,03 06 45 66 68 13,2
2019-08-07,08 32 47 53 59 03,3
2019-08-10,35 41 44 58 59 03,3
2019-08-14,10 13 30 51 69 10,2
2019-08-17,18 21 24 30 60 20,3
2019-08-21,12 21 22 29 32 21,2
2019-08-24,05 12 20 21 47 01,2
2019-08-28,09 32 37 41 56 14,10
2019-08-31,14 41 50 56 57 18,5
2019-09-04,04 08 30 52 59 02,10
2019-09-07,11 20 41 42 56 06,2
2019-09-11,06 17 24 53 57 03,3
2019-09-14,11 27 31 36 67 11,2
2019-09-18,14 19 39 47 51 15,3
2019-09-21,01 09 22 36 68 22,2
2019-09-25,37 43 44 45 53 25,3
2019-09-28,15 23 34 51 55 04,2
2019-10-02,04 08 10 43 53 07,2
2019-10-05,06 14 36 51 54 04,2
2019-10-09,05 18 33 43 65 02,2
2019-10-12,12 29 34 53 65 23,2
2019-10-16,01 05 25 63 67 03,2
2019-10-19,14 27 29 59 65 12,2
2019-10-23,05 12 50 61 69 23,2
2019-10-26,03 20 48 54 59 04,4
2019-10-30,19 22 52 56 67 21,2
2019-11-02,03 23 32 37 58 22,2
2019-11-06,15 28 46 62 64 17,3
2019-11-09,14 17 35 38 60 25,2
2019-11-13,23 26 27 28 66 11,2
2019-11-16,14 22 26 55 63 26,3
2019-11-20,07 15 39 40 57 12,2
2019-11-23,28 35 38 61 66 23,3
2019-11-27,15 26 37 53 55 21,2
2019-11-30,15 35 42 63 68 18,4
2019-12-04,08 27 44 51 61 14,3
2019-12-07,18 42 53 62 66 25,3
2019-12-11,24 29 42 44 63 10,4
2019-12-14,03 06 12 32 64 19,3
2019-12-18,14 18 26 39 68 09,2
2019-12-21,19 31 35 50 67 14,2
2019-12-25,02 04 16 30 46 20,2
2019-12-28,20 23 39 59 60 18,2
2020-01-01,49 53 57 59 62 26,2
2020-01-04,01 11 21 25 54 07,2
2020-01-08,02 04 07 43 56 22,4
2020-01-11,03 21 23 31 59 03,2
2020-01-15,39 41 53 55 68 19,2
2020-01-18,20 24 38 56 68 18,2
2020-01-22,11 33 44 59 67 08,3
2020-01-25,02 09 17 36 67 18,2
2020-01-29,09 12 15 31 60 02,2
2020-02-01,12 33 54 57 60 13,4
2020-02-05,23 30 35 41 57 02,3
2020-02-08,35 49 50 59 66 06,2
2020-02-12,14 47 54 55 68 25,2
2020-02-15,16 32 35 36 46 03,3
2020-02-19,10 12 15 19 56 19,2
2020-02-22,25 37 39 61 62 11,3
2020-02-26,08 27 29 36 47 24,3
2020-02-29,24 44 46 50 51 13,3
2020-03-04,18 43 58 60 68 14,2
2020-03-07,07 15 21 33 62 23,2
2020-03-11,04 29 49 50 67 02,4
2020-03-14,09 23 26 30 32 08,3
2020-03-18,15 27 44 59 63 08,4
2020-03-21,02 23 40 59 69 13,2
2020-03-25,05 09 27 39 42 16,2
2020-03-28,07 40 48 55 66 11,2
2020-04-01,33 35 45 48 60 16,2
2020-04-04,08 31 39 40 43 04,3
2020-04-08,02 37 39 48 54 05,3
2020-04-11,22 29 30 42 47 17,3
2020-04-15,10 12 33 36 41 02,3
2020-04-18,04 44 46 56 63 19,2
2020-04-22,01 33 35 40 69 24,5
2020-04-25,01 03 21 47 57 18,2
2020-04-29,02 20 49 61 67 20,2
2020-05-02,13 16 33 58 68 24,5
2020-05-06,07 08 35 50 65 20,4
2020-05-09,12 18 42 48 65 19,5
2020-05-13,39 53 54 56 57 20,3
2020-05-16,08 12 26 39 42 11,2
2020-05-20,18 34 40 42 50 09,2
2020-05-23,02 08 18 21 23 16,4
2020-05-27,38 58 59 64 68 21,3
2020-05-30,13 32 41 58 60 14,2
2020-06-03,01 03 26 41 64 17,2
2020-06-06,01 17 38 68 69 18,2
2020-06-10,10 33 41 52 54 18,5
2020-06-13,02 12 32 50 65 05,3
2020-06-17,07 10 63 64 68 10,3
2020-06-20,10 31 41 63 67 05,3
2020-06-24,15 22 27 33 46 23,3
2020-06-27,09 36 49 56 62 08,2
2020-07-01,15 28 52 53 63 18,4
2020-07-04,16 21 27 60 61 06,2
2020-07-08,03 10 34 36 62 05,10
2020-07-11,14 19 61 62 64 04,2
2020-07-15,27 47 61 62 69 04,10
2020-07-18,13 16 32 58 59 09,2
2020-07-22,16 25 36 44 55 14,3
2020-07-25,05 21 36 61 62 18,2
2020-07-29,07 29 35 40 45 26,2
2020-08-01,06 25 36 43 48 24,3
2020-08-05,07 14 17 57 65 24,5
2020-08-08,02 03 14 40 51 24,3
2020-08-12,02 06 18 36 37 21,2
2020-08-15,05 12 34 45 56 03,3
2020-08-19,13 23 47 55 58 23,10
2020-08-22,19 30 36 42 66 14,3
2020-08-26,08 12 19 47 58 02,2
2020-08-29,05 21 22 29 43 10,2
2020-09-02,01 04 11 20 69 18,2
2020-09-05,15 21 22 27 47 07,2
2020-09-09,27 52 55 60 64 21,3
2020-09-12,16 17 20 53 67 04,2
2020-09-16,10 17 31 51 53 01,2
2020-09-19,11 14 23 47 57 14,4
2020-09-23,08 17 49 52 59 01,2
2020-09-26,11 21 27 36 62 24,3
2020-09-30,14 18 36 49 67 18,2
2020-10-03,18 31 36 43 47 20,2
2020-10-07,06 24 30 53 56 19,2
2020-10-10,05 18 23 40 50 18,3
2020-10-14,21 37 52 53 58 05,2
2020-10-17,06 10 31 37 44 23,2
2020-10-21,01 03 13 44 56 26,3
2020-10-24,18 20 27 45 65 06,2
2020-10-28,11 28 37 40 53 13,2
2020-10-31,02 06 40 42 55 24,3
2020-11-04,23 32 33 45 49 14,2
2020-11-07,14 16 37 48 58 18,2
2020-11-11,13 15 17 45 63 13,2
2020-11-14,07 15 18 32 45 20,2
2020-11-18,04 05 17 43 52 05,2
2020-11-21,51 54 57 60 69 11,2
2020-11-25,02 57 58 60 65 26,2
2020-11-28,08 12 18 44 51 18,2
2020-12-02,28 31 40 41 46 04,3
2020-12-05,03 04 06 48 53 10,2
2020-12-09,11 14 31 47 48 04,3
2020-12-12,17 54 56 63 69 20,2
2020-12-16,04 23 37 61 67 07,2
2020-12-19,27 32 34 43 52 13,2
2020-12-23,06 13 38 39 53 06,3
2020-12-26,10 24 27 35 53 18,2
2020-12-30,03 43 45 61 65 14,2
2021-01-02,03 04 11 41 67 05,2
2021-01-06,01 20 22 60 66 03,3
2021-01-09,14 26 38 45 46 13,2
2021-01-13,04 19 23 25 49 14,2
2021-01-16,14 20 39 65 67 02,3
2021-01-20,40 53 60 68 69 22,3
2021-01-23,05 08 17 27 28 14,3
2021-01-27,17 33 35 42 52 09,3
2021-01-30,01 02 07 52 61 04,3
2021-02-03,05 37 40 64 66 05,3
2021-02-06,01 16 48 49 65 08,2
2021-02-10,15 39 58 63 67 07,2
2021-02-13,20 28 33 63 68 20,2
2021-02-17,01 15 21 32 46 01,3
2021-02-20,04 08 22 32 58 04,10
2021-02-24,04 33 43 53 65 21,3
2021-02-27,02 28 31 44 52 18,3
2021-03-03,21 40 44 50 55 16,3
2021-03-06,11 31 50 52 58 18,4
2021-03-10,17 18 37 44 53 18,3
2021-03-13,05 11 51 56 61 02,2
2021-03-17,34 38 42 61 62 19,2
2021-03-20,01 06 22 42 61 04,3
2021-03-24,04 09 17 27 38 18,2
2021-03-27,06 14 38 39 65 06,3
2021-03-31,03 10 44 55 68 24,2
2021-04-03,01 12 17 39 53 05,2
2021-04-07,27 35 39 51 66 16,5
2021-04-10,14 16 23 50 53 03,3
2021-04-14,13 30 33 45 61 14,2
2021-04-17,10 21 26 41 49 25,2
2021-04-21,21 25 32 63 67 06,2
2021-04-24,22 36 48 59 61 22,3
2021-05-01,35 36 47 61 63 03,3
2021-05-05,16 23 28 40 63 01,2
2021-05-08,12 17 20 21 26 08,3
2021-05-12,01 19 20 38 54 17,2
2021-05-15,04 10 37 39 69 24,3
2021-05-19,11 13 55 56 69 04,2
2021-05-22,03 19 27 37 40 08,2
2021-05-26,02 08 21 34 62 16,2
2021-05-29,11 13 22 27 46 20,2
2021-06-02,06 07 11 66 67 19,3
2021-06-05,44 52 54 64 69 26,3
2021-06-09,19 28 46 50 54 09,2
2021-06-12,08 25 34 38 41 10,3
2021-06-16,19 29 34 44 50 25,2
2021-06-19,04 22 35 38 39 20,2
2021-06-23,13 20 40 51 63 01,3
2021-06-26,08 31 39 43 60 17,3
2021-06-30,24 29 50 65 66 14,4
2021-07-03,26 40 41 55 65 24,2
2021-07-07,08 21 30 49 57 08,2
2021-07-10,01 05 29 54 62 03,2
2021-07-14,33 46 52 59 62 10,2
2021-07-17,15 22 38 54 66 03,2
2021-07-21,27 28 44 67 68 11,2
2021-07-24,01 04 11 59 67 10,2
2021-07-28,25 30 53 59 60 05,3
2021-07-31,01 21 22 34 47 04,2
2021-08-04,05 21 32 36 58 14,2
2021-08-07,07 24 36 54 60 23,2
2021-08-11,12 18 20 29 30 16,3
2021-08-14,06 21 49 65 67 18,2
2021-08-18,35 36 51 55 61 26,2
2021-08-21,16 28 36 39 59 04,2
2021-08-23,17 36 47 60 61 15,3
2021-08-25,27 39 54 56 59 24,3
2021-08-28,12 22 26 46 59 26,2
2021-08-30,03 15 45 51 61 08,2
2021-09-01,10 20 29 48 51 17,2
2021-09-04,32 35 40 52 54 01,5
2021-09-06,11 20 22 33 54 24,2
2021-09-08,09 22 41 47 61 21,2
2021-09-11,20 31 38 40 49 21,2
2021-09-13,37 40 50 61 63 21,3
2021-09-15,01 04 18 46 62 25,3
2021-09-18,05 36 39 45 57 11,2
2021-09-20,37 51 54 58 60 19,2
2021-09-22,20 40 47 55 63 05,3
2021-09-25,22 23 37 62 63 19,3
2021-09-27,21 22 39 44 60 12,2
2021-09-29,02 07 11 17 32 11,3
2021-10-02,28 38 42 47 52 01,2
2021-10-04,12 22 54 66 69 15,2
2021-10-06,01 17 52 58 64 01,10
2021-10-09,12 17 30 45 62 05,2
2021-10-11,11 20 33 39 65 24,3
2021-10-13,23 29 47 59 60 15,2
2021-10-16,30 31 41 42 48 03,3
2021-10-18,30 32 48 53 63 12,2
2021-10-20,07 29 36 41 43 05,2
2021-10-23,10 30 51 57 63 20,2
2021-10-25,10 27 29 44 58 24,2
2021-10-27,03 06 26 35 51 17,4
2021-10-30,05 23 28 43 56 19,2
2021-11-01,09 25 34 44 45 08,3
2021-11-03,01 02 24 50 57 26,2
2021-11-06,08 30 48 57 64 09,2
2021-11-08,21 46 47 57 62 08,3
2021-11-10,19 25 43 46 48 14,2
2021-11-13,08 15 26 35 45 09,3
2021-11-15,05 31 34 51 53 23,2
2021-11-17,03 16 48 52 60 01,3
2021-11-20,40 43 48 59 69 19,3
2021-11-22,07 20 29 38 67 22,2
2021-11-24,10 16 32 63 65 17,2
2021-11-27,08 32 55 64 66 10,2
2021-11-29,18 26 28 38 47 17,2
2021-12-01,12 15 38 57 63 24,2
2021-12-04,10 40 45 56 67 02,2
2021-12-06,03 21 38 50 59 06,3
2021-12-08,03 07 33 50 69 24,2
2021-12-11,03 25 44 53 64 10,2
2021-12-13,10 30 37 53 59 04,2
2021-12-15,19 20 40 42 59 15,3
2021-12-18,02 06 24 51 61 01,2
2021-12-20,02 13 23 34 66 02,4
2021-12-22,07 16 19 48 68 15,2
2021-12-25,27 29 45 55 58 02,3
2021-12-27,36 38 45 62 64 19,2
2021-12-29,02 06 09 33 39 11,2
2022-01-01,06 12 39 48 50 07,2
2022-01-03,02 13 32 33 48 22,2
2022-01-05,06 14 25 33 46 17,2
2022-01-08,20 21 36 60 65 13,10
2022-01-10,14 17 18 21 27 09,2
2022-01-12,12 21 22 30 33 24,4
2022-01-15,03 18 37 51 59 13,2
2022-01-17,09 24 35 46 65 22,2
2022-01-19,11 15 43 55 61 10,3
2022-01-22,08 14 33 36 67 17,2
2022-01-24,11 29 30 47 53 16,3
2022-01-26,04 11 38 49 69 16,3
2022-01-29,02 15 38 54 65 11,4
2022-01-31,10 15 51 61 69 14,3
2022-02-02,18 29 33 62 63 15,3
2022-02-05,05 16 27 39 61 24,2
2022-02-07,05 15 38 47 65 10,3
2022-02-09,02 17 33 51 63 26,2
2022-02-12,08 10 21 41 62 07,3
2022-02-14,16 25 27 49 55 17,3
2022-02-16,22 30 40 42 48 16,2
2022-02-19,03 10 15 33 42 11,2
2022-02-21,02 36 37 45 69 03,2
2022-02-23,06 17 21 35 64 18,2
2022-02-26,15 32 36 48 64 19,3
2022-02-28,07 21 39 47 55 19,2
2022-03-02,19 37 48 61 63 12,2
2022-03-05,08 23 37 52 63 13,2
2022-03-07,10 43 55 59 67 02,3
2022-03-09,13 22 34 51 67 10,2
2022-03-14,21 28 32 44 49 06,3
2022-03-16,03 28 34 35 58 17,2
2022-03-19,08 09 18 48 52 06,2
2022-03-21,01 15 26 63 65 16,2
2022-03-23,31 32 37 38 48 24,2
2022-03-26,02 10 50 59 61 06,3
2022-03-28,11 18 39 58 62 03,2
2022-03-30,03 07 21 31 37 11,3
2022-04-02,06 28 47 58 59 18,2
2022-04-04,02 32 39 46 69 06,2
2022-04-06,06 42 45 47 64 18,3
2022-04-11,05 07 24 31 34 04,2
2022-04-13,14 16 41 63 68 26,2
2022-04-16,15 21 32 62 65 26,5
2022-04-18,08 33 55 59 62 18,2
2022-04-20,20 30 45 55 56 14,2
2022-04-23,10 39 47 49 56 08,3
2022-04-25,12 18 20 39 61 10,2
2022-04-27,11 36 61 62 68 04,2
2022-04-30,14 21 37 44 63 01,3
2022-05-02,18 27 33 39 44 08,5
2022-05-04,37 39 55 63 69 23,2
2022-05-07,04 05 06 28 67 10,2
2022-05-09,18 30 35 52 56 05,2
2022-05-11,05 07 61 63 69 18,2
2022-05-14,06 40 41 45 52 09,3
2022-05-16,07 15 22 36 64 13,2
2022-05-18,40 41 58 64 65 17,3
2022-05-21,14 15 25 52 58 11,2
2022-05-23,01 33 37 39 42 26,2
2022-05-25,19 28 39 42 57 17,3
2022-05-28,02 39 50 61 66 15,2
2022-05-30,27 28 51 68 69 22,2
2022-06-01,11 41 56 57 63 02,2
2022-06-04,14 16 36 52 60 16,3
2022-06-06,02 10 35 44 46 04,2
2022-06-08,22 39 43 62 64 07,4
2022-06-11,18 20 26 53 69 05,2
2022-06-13,02 27 42 44 51 25,2
2022-06-15,19 28 41 42 51 07,2
2022-06-18,10 19 40 45 58 25,2
2022-06-20,03 44 61 63 69 13,2
2022-06-22,06 10 31 48 56 12,3
2022-06-25,06 12 20 27 32 04,3
2022-06-27,11 13 18 30 37 16,3
2022-06-29,08 40 49 58 63 14,3
2022-07-02,09 10 37 59 62 26,3
2022-07-04,15 16 24 31 56 04,2
2022-07-06,32 36 49 62 69 13,2
2022-07-09,14 22 42 46 52 24,3
2022-07-11,04 26 34 37 52 09,2
2022-07-13,22 23 36 47 63 02,2
2022-07-16,03 18 23 32 57 21,2
2022-07-18,14 34 36 50 58 05,3
2022-07-20,10 20 23 49 65 22,3
2022-07-23,39 41 54 59 62 12,3
2022-07-25,25 37 38 39 65 05,2
2022-07-27,01 25 44 55 57 26,2
2022-07-30,04 17 57 58 68 12,3
2022-08-01,15 21 31 36 65 16,3
2022-08-03,09 21 56 57 66 11,2
2022-08-06,08 15 46 56 68 03,2
2022-08-08,32 45 51 57 58 12,2
2022-08-10,29 44 59 61 68 19,2
2022-08-13,19 24 35 43 62 02,10
2022-08-15,20 24 47 50 63 05,2
2022-08-17,23 28 41 50 55 24,2
2022-08-20,05 09 11 16 66 07,2
2022-08-22,12 27 34 55 67 09,2
2022-08-24,06 24 35 37 44 22,4
2022-08-27,02 18 56 60 65 14,3
2022-08-29,13 36 43 61 69 18,3
2022-08-31,07 08 19 24 28 01,2
2022-09-03,18 27 49 65 69 09,2
2022-09-05,04 07 32 55 64 25,2
2022-09-07,03 16 30 33 36 20,3
2022-09-10,38 42 56 68 69 04,2
2022-09-12,06 14 16 34 66 25,3
2022-09-14,09 10 20 22 52 25,3
2022-09-17,05 25 36 51 61 01,3
2022-09-19,07 15 36 46 67 07,2
2022-09-21,06 33 34 45 54 07,2
2022-09-24,03 09 21 24 29 14,2
2022-09-26,13 20 31 33 59 20,3
2022-09-28,06 10 24 33 67 11,3
2022-10-01,08 21 22 65 69 26,2
2022-10-03,02 16 22 55 63 22,4
2022-10-05,26 30 33 37 62 06,2
2022-10-08,13 43 53 60 68 05,2
2022-10-10,03 06 11 17 22 11,2
2022-10-12,14 30 41 42 59 06,5
2022-10-15,32 37 40 58 62 15,5
2022-10-17,19 30 36 46 60 25,3
2022-10-19,06 08 15 27 42 10,3
2022-10-22,19 25 48 55 60 18,2
2022-10-24,18 23 35 45 54 16,4
2022-10-26,19 36 37 46 56 24,2
2022-10-29,19 31 40 46 57 23,3
2022-10-31,13 19 36 39 59 13,3
2022-11-02,02 11 22 35 60 23,2
2022-11-05,28 45 53 56 69 20,3
2022-11-09,07 14 24 30 56 07,2
2022-11-12,16 20 44 57 58 06,4
2022-11-14,19 35 53 54 67 21,2
2022-11-16,28 34 51 53 56 11,2
2022-11-19,07 28 62 63 64 10,3
2022-11-21,01 06 40 51 67 02,2
2022-11-23,01 02 31 39 66 25,2
2022-11-26,15 30 47 50 51 03,10
2022-11-28,29 30 32 48 50 20,2
2022-11-30,04 19 24 47 66 10,2
2022-12-03,06 13 33 36 37 07,4
2022-12-05,35 45 47 54 55 14,2
2022-12-07,06 28 44 59 61 21,2
2022-12-10,09 23 47 49 68 19,2
2022-12-12,16 31 50 55 61 09,4
2022-12-14,36 51 59 66 68 25,10
2022-12-17,33 56 64 66 68 12,2
2022-12-19,07 37 55 65 67 12,5
2022-12-21,12 15 24 34 59 14,2
2022-12-24,17 37 46 54 67 08,3
2022-12-26,17 41 47 60 61 17,3
2022-12-28,26 32 38 45 56 01,2
2022-12-31,18 37 44 50 64 11,3
2023-01-02,07 09 12 31 62 22,2
2023-01-04,12 32 56 67 68 26,3
2023-01-07,35 36 44 45 67 14,3
2023-01-09,18 43 48 60 69 14,3
2023-01-11,04 08 46 47 48 05,3
2023-01-14,24 26 39 47 57 23,2
2023-01-16,04 14 33 39 61 03,3
2023-01-18,06 15 22 42 47 26,3
2023-01-21,05 14 19 46 64 22,4
2023-01-23,12 31 47 58 60 23,3
2023-01-25,09 17 20 38 40 18,2
2023-01-28,02 18 23 27 47 15,4
2023-01-30,01 04 12 36 49 05,2
2023-02-01,31 43 58 59 66 09,2
2023-02-04,02 08 15 19 58 10,2
2023-02-06,05 11 22 23 69 07,2
2023-02-08,52 58 59 64 66 09,2
2023-02-11,10 23 30 54 65 11,4
2023-02-13,17 26 37 61 65 02,2
2023-02-15,31 32 54 60 63 12,4
2023-02-18,08 21 31 32 37 23,4
2023-02-20,03 17 26 38 54 15,3
2023-02-22,11 19 39 44 65 07,2
2023-02-25,11 24 58 66 67 26,3
2023-02-27,16 28 49 51 55 23,2
2023-03-01,02 09 28 36 53 04,2
2023-03-04,10 16 18 40 66 16,3
2023-03-06,02 13 29 58 69 04,3
2023-03-08,26 27 43 61 69 04,3
2023-03-11,11 20 33 43 58 24,2
2023-03-13,03 10 24 46 63 04,2
2023-03-15,16 18 33 37 50 08,2
2023-03-18,14 20 30 54 69 11,2
2023-03-20,01 27 32 47 67 14,2
2023-03-22,27 28 37 50 57 05,2
2023-03-25,15 17 18 47 57 19,2
2023-03-27,19 26 36 43 58 14,3
2023-03-29,04 09 24 46 66 07,3
2023-04-01,11 19 21 29 52 17,4
2023-04-03,16 30 31 54 68 01,2
2023-04-05,03 05 09 42 52 11,2
2023-04-08,11 22 24 51 60 18,3
2023-04-10,09 10 36 46 52 14,2
2023-04-12,09 36 41 44 59 04,2
2023-04-15,01 33 34 56 59 18,3
2023-04-17,23 25 35 63 64 25,3
2023-04-19,04 11 21 38 64 11,3
2023-04-22,17 36 47 63 68 25,2
2023-04-24,19 21 55 66 68 03,2
2023-04-26,02 15 30 35 49 06,2
2023-04-29,16 53 54 57 65 08,2
2023-05-01,03 38 55 61 66 01,3
2023-05-03,21 26 30 45 47 23,3
2023-05-06,31 39 47 51 53 06,2
2023-05-08,15 20 33 36 43 12,2
2023-05-10,21 24 33 55 69 03,10
2023-05-13,03 15 20 23 46 11,2
2023-05-15,01 26 28 55 58 25,2
2023-05-17,18 34 37 45 51 14,2
2023-05-20,17 23 32 38 63 23,2
2023-05-22,09 38 48 52 68 25,4
2023-05-24,12 21 44 50 58 26,3
2023-05-27,24 38 39 48 56 04,2
2023-05-29,21 33 35 62 64 24,2
2023-05-31,02 04 54 61 62 14,3
2023-06-03,15 45 64 67 68 18,2
2023-06-05,02 31 45 46 49 20,2
2023-06-07,16 21 29 53 66 02,5
2023-06-10,21 32 42 46 50 04,3
2023-06-12,02 03 16 23 68 07,2
2023-06-14,03 20 36 42 64 04,2
2023-06-17,02 12 45 61 64 26,2
2023-06-19,36 39 52 57 69 01,3
2023-06-21,05 11 33 35 63 14,2
2023-06-24,02 38 44 50 62 19,3
2023-06-26,06 28 39 43 54 12,4
2023-06-28,19 25 34 57 68 04,5
2023-07-01,04 17 35 49 61 08,2
2023-07-03,15 26 31 38 61 03,3
